,Unnamed: 0,Common name,Scientific name,Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,Catalogue number,License,month,breeding stage,sex,life_stage
10,10,Northern Goshawk,Accipiter gentilis,,Javier García Sáez,2022-03-18,13:00,"Laguna de Constanzana (near  Bernardos), Segovia, Castilla y León",Spain,41.1621,-4.3473,800,"adult, call, sex uncertain","Bird inside of mixed pine forest

bird-seen:no

playback-used:no",,709596,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
11,11,Northern Goshawk,Accipiter gentilis,,Sergi,2022-02-05,08:39,"Urgell (near  Bellver d'Ossó), Lleida, Catalonia",Spain,41.7506,1.1695,400,"call, life stage uncertain, sex uncertain","

bird-seen:yes

playback-used:no",,700706,//creativecommons.org/licenses/by-nc-sa/4.0/,2.0,"Territory-building, courtship",,
12,12,Northern Goshawk,Accipiter gentilis,gentilis,Frank Holzapfel,2020-05-31,05:24,"Naturpark Stromberg-Heuchelberg, Baden-Württemberg",Germany,49.0211,9.0244,400,"call, chattering call, wailing call","First calls pretty much with the rising sun (sunrise 0525). Unattended recording from frequently used forest track in mixed forest. Equipment: Sony PCM-D100. Not exact location due to conservation. Extract of (not yet uploaded). [Under the wings of Northern Goshawk - Soundscapes](https://www.xeno-canto.org/article/247)

bird-seen:no

playback-used:no",,694012,//creativecommons.org/licenses/by-nc-nd/4.0/,5.0,Incubation and nesting,,
13,13,Northern Goshawk,Accipiter gentilis,,W. Agster,2021-03-23,10:45,"Hesse (near  Bad Vilbel), Darmstadt, Hessen",Germany,50.1709,8.7464,150,"adult, call, female, song","

bird-seen:yes

playback-used:no",,685091,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
14,14,Northern Goshawk,Accipiter gentilis,,Grzegorz Lorek,2021-06-27,07:10,"Gmina Rydzyna (near  Tarnowałąka), leszczyński, Wielkopolskie",Poland,51.7631,16.628,100,"call, female, flight call, juvenile","Coniferous forest. 2 juvenile females seen. Recorder Zoom H1n. No edit.

bird-seen:yes

playback-used:no",Fringilla coelebs,672776,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,male,juvenile
15,15,Northern Goshawk,Accipiter gentilis,,Jorge Leitão,2021-08-20,12:03,"Estuário do Âncora, Caminha, Viana do Castelo",Portugal,41.8074,-8.8626,0,flight call,"

bird-seen:yes

playback-used:no",Sylvia atricapilla,672028,//creativecommons.org/licenses/by-nc-sa/4.0/,8.0,Fledging,,
16,16,Northern Goshawk,Accipiter gentilis,,Elias A. Ryberg,2021-08-08,14:00,"Stange, Innlandet",Norway,60.7225,11.1095,150,"begging call, juvenile, sex uncertain","

bird-seen:no

playback-used:no",,667092,//creativecommons.org/licenses/by-nc-sa/4.0/,8.0,Fledging,,juvenile
17,17,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2021-07-26,08:00,"Överrödå, Umeå, Västerbottens län",Sweden,64.1378,20.0755,280,call,"

bird-seen:no

playback-used:no",,665202,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,
18,18,Northern Goshawk,Accipiter gentilis,,Lars Edenius,2021-05-09,07:00,"Umeå stad, Västerbottens län",Sweden,63.8313,20.2607,10,call,"

bird-seen:no

playback-used:no","Turdus iliacus,Fringilla montifringilla",646584,//creativecommons.org/licenses/by-nc-sa/4.0/,5.0,Incubation and nesting,,
19,19,Northern Goshawk,Accipiter gentilis,,Ireneusz Oleksik,2021-04-20,18:30,"Gmina Wyry (near  Wyry), Powiat mikołowski, Śląskie",Poland,50.1142,18.9291,260,"call, sex uncertain","Pine forest, MKE 600, ZOOM H5.

bird-seen:no

playback-used:no",,640969,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,
20,20,Northern Goshawk,Accipiter gentilis,,Ireneusz Oleksik,2021-04-20,17:20,"Gmina Wyry (near  Wyry), Powiat mikołowski, Śląskie",Poland,50.1142,18.9291,260,"call, sex uncertain","Pine forest, MKE 600, ZOOM H5.

bird-seen:no

playback-used:no",,640968,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,
21,21,Northern Goshawk,Accipiter gentilis,,Ireneusz Oleksik,2021-04-10,07:50,"Gmina Wyry (near  Wyry), Powiat mikołowski, Śląskie",Poland,50.1143,18.9276,260,"call, sex uncertain","Pine forest, MKE 600.

bird-seen:no

playback-used:no","Phylloscopus collybita,Sitta europaea,Emberiza citrinella,Dendrocopos major",637847,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,
22,22,Northern Goshawk,Accipiter gentilis,,brickegickel,2021-04-04,09:30,"Frankfurt am Main, Darmstadt, Hessen",Germany,50.1375,8.6908,150,call,"auf einem Baum sitzend nachdem er Rabenkrähen vertrieben hat

bird-seen:yes

playback-used:no",,635614,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,
23,23,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-24,12:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"Advertising call, adult, call",Beginning from advertising call to female and call after,,631753,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
24,24,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-24,12:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"adult, begging call, call, female",Beginning from begging call for food and call after,,631750,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
25,25,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-24,12:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"adult, begging call, female",,,631746,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,adult
26,26,Northern Goshawk,Accipiter gentilis,gentilis,Jarek Matusiak,2021-03-24,12:00,"Gmina Leszno (near  Leszno), Powiat warszawski zachodni, mazowieckie",Poland,52.2573,20.5916,90,"Advertising call, male, song",advertising call of male to the female to nest,,631732,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",male,
